iter	Passed	Remaining
0	0	61
1	1	56
2	1	53
3	2	49
4	2	49
5	3	49
6	3	48
7	4	48
8	4	48
9	5	47
10	5	47
11	6	47
12	7	47
13	7	46
14	8	46
15	8	45
16	9	45
17	9	44
18	10	44
19	10	43
20	11	43
21	12	43
22	12	43
23	13	42
24	14	42
25	14	42
26	15	41
27	16	41
28	16	41
29	17	40
30	18	40
31	18	40
32	19	39
33	20	39
34	20	38
35	21	38
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	37	25
59	38	25
60	38	24
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	17
74	49	16
75	50	15
76	51	15
77	52	14
78	53	14
79	54	13
80	55	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	9
87	61	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	67	3
95	68	2
96	69	2
97	70	1
98	71	0
99	72	0
