iter	Passed	Remaining
0	16	16778
1	18	9005
2	19	6389
3	20	5075
4	22	4398
5	32	5465
6	34	4864
7	35	4428
8	37	4082
9	38	3802
10	41	3708
11	43	3564
12	44	3393
13	46	3258
14	47	3124
15	48	3003
16	49	2887
17	51	2783
18	52	2700
19	53	2621
20	56	2620
21	59	2645
22	60	2574
23	61	2505
24	63	2493
25	65	2437
26	66	2393
27	67	2339
28	68	2293
29	75	2448
30	78	2451
31	79	2409
32	80	2365
33	81	2322
34	82	2281
35	83	2243
36	84	2209
37	87	2223
38	90	2221
39	91	2205
40	92	2174
41	94	2144
42	95	2121
43	96	2096
44	97	2071
45	98	2047
46	99	2027
47	104	2073
48	108	2096
49	109	2076
50	110	2061
51	111	2038
52	113	2022
53	114	2001
54	115	1981
55	117	1987
56	119	1983
57	121	1975
58	122	1959
59	123	1941
60	125	1925
61	126	1908
62	127	1891
63	128	1874
64	129	1857
65	130	1841
66	133	1853
67	134	1842
68	136	1836
69	137	1821
70	138	1807
71	139	1794
72	140	1780
73	141	1766
74	142	1754
75	143	1742
76	144	1728
77	145	1716
78	146	1706
79	150	1731
80	151	1723
81	152	1710
82	153	1693
83	154	1681
84	155	1669
85	156	1659
86	157	1648
87	158	1638
88	159	1629
89	160	1619
90	161	1609
91	164	1620
92	165	1612
93	166	1604
94	167	1596
95	168	1588
96	169	1580
97	170	1571
98	171	1563
99	172	1554
100	173	1546
101	174	1538
102	175	1529
103	177	1531
104	179	1526
105	180	1519
106	181	1512
107	182	1505
108	183	1497
109	184	1490
110	185	1482
111	186	1475
112	187	1469
113	188	1464
114	189	1458
115	190	1451
116	191	1443
117	193	1446
118	194	1440
119	195	1434
120	196	1427
121	197	1419
122	198	1413
123	199	1406
124	200	1401
125	201	1395
126	201	1387
127	203	1383
128	203	1376
129	204	1371
130	205	1366
131	207	1362
132	208	1359
133	209	1354
134	210	1349
135	211	1345
136	212	1341
137	213	1335
138	214	1330
139	215	1325
140	216	1320
141	217	1314
142	218	1309
143	219	1305
144	220	1301
145	221	1297
146	223	1295
147	224	1292
148	225	1288
149	226	1284
150	227	1280
151	228	1276
152	229	1271
153	230	1267
154	231	1263
155	232	1260
156	233	1255
157	234	1252
158	235	1247
159	237	1247
160	238	1244
161	239	1240
162	240	1237
163	241	1233
164	242	1228
165	243	1224
166	244	1221
167	245	1217
168	246	1213
169	247	1210
170	248	1206
171	249	1203
172	250	1199
173	252	1197
174	253	1195
175	254	1192
176	255	1188
177	256	1184
178	257	1180
179	258	1176
180	259	1173
181	260	1169
182	261	1166
183	262	1163
184	263	1159
185	264	1156
186	265	1152
187	266	1149
188	267	1146
189	268	1145
190	269	1141
191	270	1138
192	271	1136
193	272	1133
194	273	1129
195	274	1126
196	275	1123
197	276	1120
198	277	1118
199	278	1114
200	279	1111
201	280	1109
202	283	1111
203	284	1109
204	285	1106
205	286	1104
206	287	1101
207	288	1098
208	289	1095
209	290	1093
210	291	1091
211	292	1088
212	293	1085
213	294	1082
214	295	1079
215	296	1077
216	298	1076
217	299	1073
218	300	1071
219	301	1068
220	302	1065
221	303	1062
222	304	1059
223	305	1057
224	306	1054
225	307	1051
226	308	1049
227	309	1046
228	310	1043
229	311	1042
230	312	1041
231	313	1039
232	314	1036
233	315	1033
234	316	1031
235	317	1028
236	318	1025
237	319	1023
238	320	1021
239	321	1019
240	323	1017
241	323	1014
242	325	1012
243	326	1010
244	328	1010
245	329	1009
246	330	1007
247	331	1004
248	332	1002
249	333	1000
250	334	999
251	335	997
252	337	995
253	338	993
254	339	991
255	340	990
256	344	995
257	345	993
258	347	993
259	349	993
260	350	991
261	351	990
262	353	990
263	355	991
264	358	993
265	359	992
266	362	995
267	363	993
268	364	991
269	366	990
270	367	988
271	368	987
272	370	985
273	371	983
274	373	985
275	375	983
276	376	982
277	377	980
278	378	979
279	380	977
280	381	976
281	382	975
282	384	972
283	385	971
284	386	969
285	387	967
286	389	968
287	391	967
288	392	965
289	393	964
290	394	962
291	396	960
292	397	959
293	398	957
294	400	955
295	401	954
296	402	952
297	405	955
298	406	953
299	407	951
300	409	950
301	410	948
302	411	946
303	412	944
304	413	941
305	414	939
306	415	937
307	416	935
308	417	933
309	419	933
310	420	932
311	422	930
312	423	929
313	424	927
314	425	925
315	426	923
316	427	921
317	428	919
318	430	918
319	431	916
320	432	915
321	435	916
322	436	915
323	437	913
324	438	911
325	440	909
326	441	908
327	442	906
328	443	905
329	445	903
330	446	901
331	447	900
332	448	899
333	451	900
334	452	898
335	453	896
336	455	895
337	456	893
338	457	892
339	458	890
340	460	889
341	461	887
342	462	886
343	464	884
344	465	884
345	466	882
346	468	880
347	469	879
348	470	877
349	471	876
350	472	874
351	474	873
352	475	871
353	476	869
354	477	868
355	479	866
356	481	866
357	482	865
358	483	863
359	485	862
360	486	860
361	487	859
362	488	857
363	490	856
364	491	854
365	492	853
366	493	851
367	494	850
368	496	849
369	497	847
370	499	846
371	500	845
372	501	843
373	503	842
374	504	840
375	505	838
376	506	837
377	507	835
378	509	834
379	510	832
380	512	832
381	513	831
382	515	830
383	516	828
384	517	826
385	518	825
386	520	823
387	521	822
388	522	820
389	523	818
390	524	816
391	525	815
392	527	815
393	529	813
394	530	812
395	531	810
396	532	809
397	533	807
398	534	805
399	535	803
400	537	802
401	537	800
402	539	798
403	540	796
404	541	794
405	542	793
406	543	792
407	544	790
408	545	788
409	546	786
410	547	784
411	548	782
412	549	781
413	550	779
414	551	777
415	552	775
416	553	774
417	554	772
418	555	770
419	557	769
420	558	767
421	559	766
422	560	764
423	561	762
424	562	761
425	563	759
426	564	758
427	565	756
428	567	754
429	568	753
430	569	751
431	570	749
432	571	748
433	573	747
434	574	745
435	575	744
436	576	742
437	577	740
438	578	738
439	578	736
440	579	735
441	580	733
442	581	731
443	582	729
444	583	727
445	584	726
446	585	724
447	586	722
448	588	722
449	589	720
450	590	718
451	591	717
452	592	715
453	593	713
454	594	712
455	595	710
456	596	708
457	597	707
458	598	705
459	599	703
460	600	702
461	601	700
462	602	698
463	603	697
464	605	696
465	606	694
466	607	692
467	608	691
468	608	689
469	609	687
470	610	685
471	611	684
472	612	682
473	613	681
474	614	679
475	615	677
476	616	675
477	620	677
478	621	675
479	622	674
480	623	672
481	624	670
482	624	668
483	625	666
484	626	665
485	627	663
486	628	661
487	629	660
488	630	658
489	630	656
490	631	654
491	632	653
492	633	651
493	634	650
494	635	648
495	636	647
496	637	645
497	638	643
498	639	641
499	640	640
500	640	638
501	641	636
502	642	635
503	643	633
504	644	631
505	645	630
506	646	628
507	647	626
508	647	624
509	649	624
510	650	622
511	651	621
512	652	619
513	653	618
514	654	616
